file_name,tanggal_data,wmo_id,station_name,status
P2096011C202504160000.X,C-- :,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D97724_2025041600IUKG.BIN,2025-04-16 00:00,97724,WAPP_Stasiun Meteorologi Pattimura,Dikenali
T2096147C202504160000.X,C-- :,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D97560_2025041600IUKG.BIN,2025-04-16 00:00,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
D96581_2025041600.X,2025-04-16 00:00,96581,WIOO_Stasiun Meteorologi Supadio,Dikenali
P2096147C202504160000.X,C-- :,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
T2096147D202504160000.X,D-- :,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96035_2025041600IUSG.BIN,2025-04-16 00:00,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96011_202504160000.bin,2025-04-16 00:00,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
P2096011A202504160000.X,A-- :,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
T2096011C202504160000.X,C-- :,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96253_2025041600IUSG.BIN,2025-04-16 00:00,96253,WIGG_Stasiun Meteorologi Fatmawati Soekarno,Dikenali
D96581_2025041600IUSG.BIN,2025-04-16 00:00,96581,WIOO_Stasiun Meteorologi Supadio,Dikenali
P2096509C2025041600.X,2025-04-16 00:,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
P2096509D2025041600.X,2025-04-16 00:,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
D97502_202504160000.bfr,2025-04-16 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
P2097502B202504160000.X,B-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
P2097502C202504160000.X,C-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
D96147_202504160000.bfr,2025-04-16 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96253_2025041600.X,2025-04-16 00:00,96253,WIGG_Stasiun Meteorologi Fatmawati Soekarno,Dikenali
T2096645C202504160000.X,C-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
D96935_2025041600IUKG.BIN,2025-04-16 00:00,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
P2097502A202504160000.X,A-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
T2097502A202504160000.X,A-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
P2096805A2025041600GTS.X,2025-04-16 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D96509_202504160000.bin,2025-04-16 00:00,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
T2096805A2025041600GTS.X,2025-04-16 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
P2096805D2025041600GTS.X,2025-04-16 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D96805_2025041600.bfr,2025-04-16 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D96253_2025041600IUKG.BIN,2025-04-16 00:00,96253,WIGG_Stasiun Meteorologi Fatmawati Soekarno,Dikenali
P2096645D202504160000.X,D-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
T2096805C2025041600GTS.X,2025-04-16 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
P2096011D202504160000.X,D-- :,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D97980_2025041600IUKG.BIN,2025-04-16 00:00,97980,WAKK_Stasiun Meteorologi Mopah,Dikenali
T2096509A2025041600.X,2025-04-16 00:,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
T2096011D202504160000.X,D-- :,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
T2097502D202504160000.X,D-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
D96147_202504160000.bin,2025-04-16 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
T2096805A2025041600.X,2025-04-16 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D97560_2025041600.X,2025-04-16 00:00,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
D96645_202504160000.bin,2025-04-16 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
P2096011B202504160000.X,B-- :,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
T2096509C2025041600.X,2025-04-16 00:,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
T2096645B202504160000.X,B-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
T2096805B2025041600GTS.X,2025-04-16 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
P2096645C202504160000.X,C-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
T2096805D2025041600GTS.X,2025-04-16 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
P2096645B202504160000.X,B-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
P2096147B202504160000.X,B-- :,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
T2096645A202504160000.X,A-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
P2096805B2025041600.X,2025-04-16 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D97724_2025041600.X,2025-04-16 00:00,97724,WAPP_Stasiun Meteorologi Pattimura,Dikenali
D96509_202504160000.bfr,2025-04-16 00:00,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
P2096509B2025041600.X,2025-04-16 00:,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
P2096805C2025041600GTS.X,2025-04-16 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D97560_2025041600IUSG.BIN,2025-04-16 00:00,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
P2096805B2025041600GTS.X,2025-04-16 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
